ID, Distance
1, 0.265992
2, 0.515849
3, 0.752609
4, 0.970148
5, 1.162839
6, 1.325699
7, 1.454514
8, 1.545953
10, 1.597650
0, 1.608269
1, 1.577535
2, 1.506243
3, 1.396236
4, 1.250360
5, 1.072389
6, 0.866926
7, 0.639284
8, 0.395353
20, -0.115883
-1, 0.141441
21, -0.369964
22, -0.614230
23, -0.842363
24, -1.048462
25, -1.227196
26, -1.373942
27, -1.484905
28, -1.557213
30, -1.588998
20, -1.579436
21, -1.528776
22, -1.438327
23, -1.310429
24, -1.148390
26, -0.739429
25, -0.956402
27, -0.503086
28, -0.253484
19, 0.002921
0, 0.009500
1, 0.265992
2, 0.515849
3, 0.752609
4, 0.977659
5, 1.161658
7, 1.452195
6, 1.321006
10, 1.590121
0, 1.607493
8, 1.543502
1, 1.575371
2, 1.504798
3, 1.393064
4, 1.246917
5, 1.079900
6, 0.866926
7, 0.639284
8, 0.395353
-1, 0.141441
20, -0.115883
21, -0.369964
22, -0.614230
23, -0.842363
24, -1.055991
25, -1.223907
26, -1.370662
27, -1.483424
28, -1.555039
20, -1.578208
30, -1.581487
21, -1.526342
22, -1.436037
23, -1.305691
24, -1.147250
25, -0.963931
26, -0.739429
27, -0.503086
28, -0.253484
19, 0.002921
0, 0.009500
1, 0.258467
3, 0.745084
2, 0.508324
4, 0.977705
5, 1.151933
6, 1.310806
7, 1.442315
8, 1.533605
10, 1.579336
0, 1.597711
1, 1.565513
2, 1.495037
3, 1.383069
4, 1.236886
5, 1.079946
6, 0.859401
7, 0.631759
8, 0.387828
-1, 0.133916
20, -0.108376
21, -0.362458
22, -0.606724
23, -0.834857
24, -1.056061
25, -1.213894
26, -1.360650
27, -1.473658
28, -1.545178
30, -1.570687
20, -1.568477
21, -1.516446
22, -1.426160
23, -1.295480
24, -1.137530
25, -0.964000
26, -0.731923
27, -0.495579
28, -0.245977
19, 0.002921
0, 0.009500
1, 0.256219
2, 0.505682
3, 0.742301
4, 0.970462
5, 1.142159
7, 1.432350
6, 1.300444
8, 1.523617
0, 1.587865
10, 1.568555
3, 1.372961
4, 1.226733
5, 1.072703
1, 1.555574
2, 1.485219
6, 0.856116
7, 0.628858
8, 0.385398
-1, 0.131796
21, -0.362413
20, -0.108332
22, -0.606679
23, -0.834767
24, -1.048804
25, -1.203764
26, -1.350522
27, -1.463833
28, -1.535236
30, -1.559903
20, -1.558694
22, -1.416199
21, -1.506461
23, -1.285107
24, -1.127763
25, -0.956756
26, -0.729144
27, -0.492946
28, -0.243745
19, 0.002921
0, 0.009500
1, 0.255317
2, 0.504618
3, 0.741180
4, 0.965333
5, 1.132363
6, 1.290469
7, 1.422365
8, 1.513611
10, 1.558941
0, 1.577994
1, 1.545615
2, 1.475379
3, 1.363084
4, 1.216838
5, 1.067574
6, 0.854799
7, 0.627688
8, 0.384421
-1, 0.130946
20, -0.115622
21, -0.369745
22, -0.614033
23, -0.839261
24, -1.043705
25, -1.193880
26, -1.340638
27, -1.453987
28, -1.525275
30, -1.550289
20, -1.548890
21, -1.496457
22, -1.406219
23, -1.275129
24, -1.117973
25, -0.951602
26, -0.728048
27, -0.491908
28, -0.242866
