ID, Distance
7, 1.454514
5, 1.162839
10, 1.608269
9, 1.597650
6, 1.325699
12, 1.577535
8, 1.545953
12, 1.506243
13, 1.396236
14, 1.250360
15, 1.072389
16, 0.866926
17, 0.639284
18, 0.395353
20, 0.141441
20, -0.115883
21, -0.369964
22, -0.614230
23, -0.842363
24, -1.048462
25, -1.227196
26, -1.373942
28, -1.484905
28, -1.557213
29, -1.588998
30, -1.579436
31, -1.528776
32, -1.438327
33, -1.310429
34, -1.148390
36, -0.956402
36, -0.739429
37, -0.503086
38, -0.253484
39, 0.002921
0, 0.009500
1, 0.264236
4, 0.747655
2, 0.512453
4, 0.975621
5, 1.155310
6, 1.318170
7, 1.446985
8, 1.538424
9, 1.590121
10, 1.600740
12, 1.570006
12, 1.498714
13, 1.388707
14, 1.242831
15, 1.076499
16, 0.861218
17, 0.635077
18, 0.392749
20, 0.140692
20, -0.115273
21, -0.367529
22, -0.610193
23, -0.836828
24, -1.052762
25, -1.219685
26, -1.366431
28, -1.477394
28, -1.549702
29, -1.581487
30, -1.571925
31, -1.521265
32, -1.430816
33, -1.302918
34, -1.140879
36, -0.961940
36, -0.734570
37, -0.499778
38, -0.251811
39, 0.002921
0, 0.009500
1, 0.260827
2, 0.513939
4, 0.748375
4, 0.975350
5, 1.144525
6, 1.307385
7, 1.436200
8, 1.527639
9, 1.579336
10, 1.589955
12, 1.559221
12, 1.487928
13, 1.377922
14, 1.232046
16, 0.860963
15, 1.075267
17, 0.636264
18, 0.387690
20, 0.138947
20, -0.113847
21, -0.362792
22, -0.611464
23, -0.836744
24, -1.051756
26, -1.355632
25, -1.208886
28, -1.466594
28, -1.538903
29, -1.570687
31, -1.510465
30, -1.561126
32, -1.420016
33, -1.292118
34, -1.130079
36, -0.961751
36, -0.735374
38, -0.248560
37, -0.501318
39, 0.002921
0, 0.009500
1, 0.257065
2, 0.515338
4, 0.748660
4, 0.964503
5, 1.133744
6, 1.296604
7, 1.425419
8, 1.516858
9, 1.568555
10, 1.579174
12, 1.548440
12, 1.477147
13, 1.367141
14, 1.221265
15, 1.064464
16, 0.860455
17, 0.637126
18, 0.382090
20, 0.136767
20, -0.112064
21, -0.357553
22, -0.612381
23, -0.836350
24, -1.040963
25, -1.198101
26, -1.344847
28, -1.455809
28, -1.528118
29, -1.559903
30, -1.550341
31, -1.499681
32, -1.409232
33, -1.281334
34, -1.119295
36, -0.950910
36, -0.735682
37, -0.502585
38, -0.244976
39, 0.002921
0, 0.009500
1, 0.252554
2, 0.512561
4, 0.744210
4, 0.953370
5, 1.124130
