ID, Distance
1, 0.274007
2, 0.531672
3, 0.775831
4, 1.000168
5, 1.198881
0, 1.658231
8, 1.593967
10, 1.647280
7, 1.499671
6, 1.366830
1, 1.626536
2, 1.553016
4, 1.289137
3, 1.439571
7, 0.658965
5, 1.105604
23, -0.868984
6, 0.893720
24, -1.081524
20, -0.119801
21, -0.381823
8, 0.407411
-1, 0.145564
22, -0.633722
25, -1.265843
26, -1.417175
27, -1.531605
20, -1.629091
30, -1.638951
21, -1.576847
22, -1.483571
24, -1.184574
28, -1.606173
25, -0.986586
26, -0.762833
27, -0.519104
28, -0.261702
19, 0.002715
23, -1.351677
1, 0.274007
0, 0.009500
2, 0.531672
4, 1.005037
6, 1.365025
5, 1.198445
3, 0.775831
10, 1.641340
8, 1.593152
0, 1.657929
1, 1.625830
3, 1.441478
2, 1.552508
4, 1.284571
5, 1.110165
6, 0.893720
7, 0.658965
7, 1.498861
8, 0.407411
20, -0.119801
-1, 0.145564
22, -0.633722
26, -1.419106
27, -1.531085
23, -0.868984
25, -1.261268
28, -1.605463
20, -1.628694
21, -1.576039
22, -1.482773
24, -1.184146
25, -0.991448
23, -1.349854
27, -0.519104
26, -0.762833
28, -0.261702
19, 0.002715
24, -1.086103
21, -0.381823
30, -1.633172
0, 0.009500
1, 0.268590
2, 0.526255
4, 1.005297
3, 0.770414
5, 1.190500
6, 0.888303
6, 1.355215
1, 1.617255
7, 0.653548
5, 1.110277
8, 0.401994
10, 1.629869
2, 1.544457
7, 1.490070
3, 1.437422
0, 1.650281
8, 1.584262
4, 1.274802
-1, 0.140148
20, -0.114421
21, -0.376443
22, -0.628342
23, -0.863604
24, -1.086239
25, -1.251469
27, -1.523042
28, -1.596899
30, -1.621948
21, -1.567260
24, -1.176253
25, -0.991721
19, 0.002715
26, -0.757454
20, -1.620862
27, -0.513724
22, -1.474040
28, -0.256322
26, -1.415081
23, -1.340041
1, 0.265650
2, 0.522901
3, 0.766761
8, 0.398863
-1, 0.137339
10, 1.620645
6, 0.884291
8, 1.574506
5, 1.101264
5, 1.180800
7, 0.649921
4, 1.264819
2, 1.534746
7, 1.480315
1, 1.607515
3, 1.425947
6, 1.345336
4, 0.996432
0, 1.640603
20, -0.111659
22, -0.624768
23, -0.859648
24, -1.077255
21, -0.373362
25, -1.241463
26, -1.403573
27, -1.513330
28, -1.587158
30, -1.611894
20, -1.611168
21, -1.557505
22, -1.464286
23, -1.330159
24, -1.166554
25, -0.982894
26, -0.753822
27, -0.510396
19, 0.002715
28, -0.253412
0, 0.009500
0, 0.009500
1, 0.265882
3, 0.765735
2, 0.522402
4, 0.986322
6, 1.335436
8, 1.564705
7, 1.470515
10, 1.610872
0, 1.630900
1, 1.597734
2, 1.525002
3, 1.415796
4, 1.254750
5, 1.091158
7, 0.648940
-1, 0.137804
8, 0.398758
20, -0.112190
22, -0.623868
21, -0.373331
5, 1.171069
23, -0.858075
24, -1.067147
25, -1.231374
27, -1.503583
26, -1.393420
28, -1.577376
30, -1.603089
20, -1.601445
22, -1.454489
25, -0.972783
24, -1.156824
27, -0.509930
28, -0.253683
6, 0.882629
19, 0.002715
21, -1.547706
23, -1.320256
26, -0.752822
1, 0.265910
2, 0.521552
0, 0.009500
3, 0.763891
6, 1.325820
5, 1.161323
7, 1.460702
